"id","run","nifti"
221475,1,"nfasm-sub-221475_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221485,1,"nfasm-sub-221485_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221486,1,"nfasm-sub-221486_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221489,1,"nfasm-sub-221489_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221490,1,"nfasm-sub-221490_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221503,1,"nfasm-sub-221503_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221504,1,"nfasm-sub-221504_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221507,1,"nfasm-sub-221507_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221518,1,"nfasm-sub-221518_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221541,1,"nfasm-sub-221541_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221546,1,"nfasm-sub-221546_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221549,1,"nfasm-sub-221549_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221550,1,"nfasm-sub-221550_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221562,1,"nfasm-sub-221562_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221568,1,"nfasm-sub-221568_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221582,1,"nfasm-sub-221582_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221585,1,"nfasm-sub-221585_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221587,1,NA
221593,1,"nfasm-sub-221593_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221594,1,"nfasm-sub-221594_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221595,1,"nfasm-sub-221595_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221596,1,"nfasm-sub-221596_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221597,1,"nfasm-sub-221597_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221603,1,"nfasm-sub-221603_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221604,1,"nfasm-sub-221604_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221611,1,"nfasm-sub-221611_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221620,1,"nfasm-sub-221620_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221648,1,"nfasm-sub-221648_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221668,1,"nfasm-sub-221668_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221689,1,"nfasm-sub-221689_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221717,1,"nfasm-sub-221717_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221719,1,"nfasm-sub-221719_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221765,1,"nfasm-sub-221765_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221790,1,"nfasm-sub-221790_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221794,1,"nfasm-sub-221794_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221814,1,"nfasm-sub-221814_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221817,1,"nfasm-sub-221817_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221825,1,"nfasm-sub-221825_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221833,1,"nfasm-sub-221833_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221834,1,"nfasm-sub-221834_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221839,1,"nfasm-sub-221839_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221842,1,"nfasm-sub-221842_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221846,1,"nfasm-sub-221846_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221849,1,"nfasm-sub-221849_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221850,1,"nfasm-sub-221850_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221855,1,"nfasm-sub-221855_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221857,1,"nfasm-sub-221857_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221872,1,"nfasm-sub-221872_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221875,1,"nfasm-sub-221875_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221876,1,"nfasm-sub-221876_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221890,1,"nfasm-sub-221890_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221897,1,"nfasm-sub-221897_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221903,1,"nfasm-sub-221903_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221911,1,"nfasm-sub-221911_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221912,1,"nfasm-sub-221912_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221914,1,"nfasm-sub-221914_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221945,1,"nfasm-sub-221945_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221947,1,NA
221954,1,"nfasm-sub-221954_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221957,1,"nfasm-sub-221957_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221960,1,"nfasm-sub-221960_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221964,1,"nfasm-sub-221964_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221994,1,"nfasm-sub-221994_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221999,1,"nfasm-sub-221999_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
222027,1,"nfasm-sub-222027_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
222028,1,"nfasm-sub-222028_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
222053,1,"nfasm-sub-222053_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
222055,1,"nfasm-sub-222055_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
222059,1,"nfasm-sub-222059_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
222139,1,"nfasm-sub-222139_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
222157,1,"nfasm-sub-222157_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
222185,1,"nfasm-sub-222185_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
32765,1,"nfasm-sub-32765_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
427290,1,"nfasm-sub-427290_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440003,1,"nfasm-sub-440003_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440006,1,"nfasm-sub-440006_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440007,1,"nfasm-sub-440007_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440008,1,"nfasm-sub-440008_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440010,1,"nfasm-sub-440010_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440012,1,"nfasm-sub-440012_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440013,1,"nfasm-sub-440013_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440015,1,"nfasm-sub-440015_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440022,1,"nfasm-sub-440022_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440032,1,"nfasm-sub-440032_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440033,1,"nfasm-sub-440033_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440047,1,"nfasm-sub-440047_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440051,1,"nfasm-sub-440051_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440053,1,"nfasm-sub-440053_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440059,1,"nfasm-sub-440059_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440061,1,"nfasm-sub-440061_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440069,1,"nfasm-sub-440069_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440073,1,"nfasm-sub-440073_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440075,1,"nfasm-sub-440075_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440077,1,"nfasm-sub-440077_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440082,1,"nfasm-sub-440082_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440084,1,"nfasm-sub-440084_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440086,1,"nfasm-sub-440086_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440090,1,"nfasm-sub-440090_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440091,1,"nfasm-sub-440091_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440093,1,"nfasm-sub-440093_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440095,1,"nfasm-sub-440095_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440096,1,"nfasm-sub-440096_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440097,1,"nfasm-sub-440097_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440098,1,"nfasm-sub-440098_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440099,1,NA
440102,1,"nfasm-sub-440102_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440106,1,"nfasm-sub-440106_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440108,1,"nfasm-sub-440108_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440111,1,NA
440112,1,"nfasm-sub-440112_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440117,1,"nfasm-sub-440117_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440118,1,"nfasm-sub-440118_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440122,1,"nfasm-sub-440122_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440124,1,"nfasm-sub-440124_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440127,1,"nfasm-sub-440127_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440130,1,"nfasm-sub-440130_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
440132,1,"nfasm-sub-440132_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
