"id","decision","t_decides","p_button","trial","trustee","block","pchoice_onset","pchoice_offset","pchoice_rt","dchoice_onset","dchoice_offset","iti_onset","outcome_onset","outcome_offset","first_fixation","pchoice_duration","dchoice_duration","outcome_duration","trustee_dummy","noresponse","comp","trial_cwc","trial_cnc","model","Qshare","pshare_pred","R2","alpha_transformed","beta_transformed","kappaS_transformed","kappaT_bad_transformed","kappaT_good_transformed","kappaT_computer_transformed","PE_mult_z","V_mult_z","p_decides","reward","run"
203521,1,"keep",7,65,"bad",25,333.961,334.725,0.758,334.745,334.944,336.246,335.045,336.144,151.761,0.764,0.199,1.099,-1,0,1,65,17,"policy",0.76327345,0.593200155,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-1.116795821,0.393974079,1,0,NA
203521,1,"share",2,66,"bad",25,339.132,340.085,0.946,340.116,340.315,341.618,340.417,341.516,151.761,0.953,0.199,1.099,-1,0,1,66,18,"policy",0.577864796,0.536884419,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.031018954,0.036752414,1,1.5,NA
203521,1,"keep",2,67,"bad",25,343.87,344.455,0.583,344.487,344.686,345.988,344.787,345.886,151.761,0.585,0.199,1.099,-1,0,1,67,19,"policy",0.801862954,0.604668811,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-1.165972682,0.468323397,1,0,NA
203521,-1,"keep",2,68,"bad",25,349.608,350.006,0.391,350.025,350.224,351.527,350.325,351.424,151.761,0.398,0.199,1.099,-1,0,1,68,20,"policy",0.607080428,0.545859355,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.903884694,-2.246248395,0,1,NA
203521,1,"keep",7,69,"bad",25,354.112,356.056,1.936,356.081,356.28,357.582,356.381,357.48,151.761,1.944,0.199,1.099,-1,0,1,69,21,"policy",0.216700521,0.425787528,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.420265985,-0.659092691,1,0,NA
203521,-1,"keep",7,70,"bad",25,359.217,361.036,1.816,361.068,361.267,362.57,361.368,362.467,151.761,1.819,0.199,1.099,-1,0,1,70,22,"policy",0.164061258,0.409945883,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.339319467,-1.392695755,0,1,NA
203521,-1,"share",7,71,"bad",25,364.354,364.987,0.632,365.005,365.204,366.506,365.305,366.404,151.761,0.633,0.199,1.099,-1,0,1,71,23,"policy",-0.11870376,0.328704197,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.932562214,-0.847900307,0,1,NA
203521,1,"keep",2,72,"bad",25,369.325,369.887,0.56,369.909,370.108,371.411,370.21,371.309,151.761,0.562,0.199,1.099,-1,0,1,72,24,"policy",0.03158711,0.370960578,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.184365145,-1.015745519,1,0,NA
203521,1,"share",7,73,"bad",25,374.397,375.278,0.878,375.297,375.496,376.799,375.598,376.697,151.761,0.881,0.199,1.099,-1,0,1,73,25,"policy",0.023914207,0.368747982,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.736950573,-1.030528687,1,1.5,NA
203521,1,"keep",2,74,"bad",25,379.585,380.298,0.703,380.319,380.518,381.82,380.619,381.718,151.761,0.713,0.199,1.099,-1,0,1,74,26,"policy",0.382473881,0.476529964,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.63152067,-0.339701795,1,0,NA
203521,1,"keep",2,75,"bad",25,385.39,385.909,0.513,385.94,386.139,387.441,386.24,387.339,151.761,0.519,0.199,1.099,-1,0,1,75,27,"policy",0.289566199,0.447963355,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.513122978,-0.518704427,1,0,NA
203521,1,"keep",7,76,"bad",25,390.211,391.169,0.952,391.195,391.394,392.696,391.495,392.594,151.761,0.958,0.199,1.099,-1,0,1,76,28,"policy",0.219226953,0.426551971,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.423485565,-0.654225085,1,0,NA
203521,-1,"share",2,77,"bad",25,395.515,396.109,0.592,396.132,396.331,397.634,396.433,397.532,151.761,0.594,0.199,1.099,-1,0,1,77,29,"policy",0.165973988,0.410518463,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.569780718,-1.396380959,0,1,NA
203521,1,"keep",7,78,"bad",25,400.386,401.03,0.642,401.053,401.252,402.555,401.354,402.453,151.761,0.644,0.199,1.099,-1,0,1,78,30,"policy",0.247113078,0.435012251,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.459022485,-0.600497667,1,0,NA
203521,1,"keep",2,79,"bad",25,405.708,406.16,0.442,406.191,406.39,407.693,406.492,407.591,151.761,0.452,0.199,1.099,-1,0,1,79,31,"policy",0.187086225,0.416854249,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.382526757,-0.716149725,1,0,NA
203521,1,"keep",7,80,"bad",25,410.979,412.03,1.048,412.063,412.262,413.564,412.363,413.462,151.761,1.051,0.199,1.099,-1,0,1,80,32,"policy",0.141640644,0.403252799,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.324612797,-0.803708454,1,0,NA
203521,-1,"share",7,81,"bad",88,415.816,416.581,0.757,416.6,416.799,418.102,416.901,418,151.761,0.765,0.199,1.099,-1,0,1,81,33,"policy",0.107234363,0.39305217,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.644636056,-1.283208967,0,1,NA
203521,-1,"keep",2,82,"bad",88,420.32,421.111,0.781,421.138,421.337,422.639,421.438,422.537,151.761,0.791,0.199,1.099,-1,0,1,82,34,"policy",0.202642041,0.421540311,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.388485215,-1.467028272,0,1,NA
203521,-1,"share",2,83,"bad",88,425.291,425.731,0.435,425.759,425.958,427.26,426.059,427.158,151.761,0.44,0.199,1.099,-1,0,1,83,35,"policy",-0.089494731,0.336727578,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.89533944,-0.904176527,0,1,NA
203521,-1,"share",2,84,"bad",88,431.03,431.452,0.42,431.48,431.679,432.982,431.78,432.879,151.761,0.422,0.199,1.099,-1,0,1,84,36,"policy",0.053700902,0.3773675,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.712856875,-1.180067545,0,1,NA
203521,-1,"share",7,85,"bad",88,436.201,436.922,0.718,436.952,437.151,438.453,437.252,438.351,151.761,0.721,0.199,1.099,-1,0,1,85,37,"policy",0.162112527,0.409362777,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.574701603,-1.38894119,0,1,NA
203521,-1,"share",2,86,"bad",88,441.105,441.723,0.612,441.739,441.938,443.241,442.04,443.139,151.761,0.618,0.199,1.099,-1,0,1,86,38,"policy",0.244189614,0.434123444,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.470105973,-1.547076817,0,1,NA
203521,1,"share",7,87,"bad",88,446.827,448.043,1.215,448.061,448.26,449.563,448.362,449.461,151.761,1.216,0.199,1.099,-1,0,1,87,39,"policy",0.306329152,0.453097712,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.377052699,-0.486407715,1,1.5,NA
203521,1,"share",2,88,"bad",88,451.498,452.323,0.818,452.349,452.548,453.85,452.649,453.748,151.761,0.825,0.199,1.099,-1,0,1,88,40,"policy",0.596286709,0.54254672,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.007542834,0.072245398,1,1.5,NA
203521,1,"share",2,89,"bad",88,456.769,457.154,0.378,457.186,457.385,458.687,457.486,458.585,151.761,0.385,0.199,1.099,-1,0,1,89,41,"policy",0.815809954,0.608786341,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.727791529,0.495194692,1,1.5,NA
203521,1,"share",2,90,"bad",88,461.34,462.014,0.669,462.04,462.239,463.542,462.341,463.44,151.761,0.674,0.199,1.099,-1,0,1,90,42,"policy",0.982008261,0.656525608,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.51599531,0.81540432,1,1.5,NA
203521,1,"share",2,91,"bad",88,465.877,466.804,0.917,466.828,467.027,468.329,467.128,468.227,151.761,0.927,0.199,1.099,-1,0,1,91,43,"policy",1.107834924,0.690729781,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.355647038,1.057831031,1,1.5,NA
203521,1,"keep",2,92,"bad",88,471.215,471.655,0.433,471.682,471.881,473.184,471.983,473.082,151.761,0.44,0.199,1.099,-1,0,1,92,44,"policy",1.203096719,0.715327246,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-1.677288324,1.241369266,1,0,NA
203521,1,"share",7,93,"bad",88,475.836,476.685,0.843,476.703,476.902,478.205,477.004,478.103,151.761,0.849,0.199,1.099,-1,0,1,93,45,"policy",0.9108495,0.636407435,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.60667708,0.678304726,1,1.5,NA
203521,1,"share",2,94,"bad",88,481.558,482.645,1.077,482.675,482.874,484.177,482.976,484.075,151.761,1.087,0.199,1.099,-1,0,1,94,46,"policy",1.053961514,0.676312397,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.424301074,0.95403464,1,1.5,NA
203521,1,"share",7,95,"bad",88,485.995,486.876,0.878,486.896,487.095,488.397,487.196,488.295,151.761,0.881,0.199,1.099,-1,0,1,95,47,"policy",1.162309833,0.704940132,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.286226477,1.162786315,1,1.5,NA
203521,1,"share",7,96,"bad",88,491.083,491.666,0.582,491.683,491.882,505.195,491.983,493.082,151.761,0.583,0.199,1.099,-1,0,1,96,48,"policy",1.244338992,0.725603288,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.181691924,1.3208296,1,1.5,NA
203521,1,"share",2,97,"neutral",50,508.498,510.748,2.24,510.767,510.966,512.268,511.067,512.166,151.761,2.25,0.199,1.099,0,0,1,97,49,"policy",1.306442244,0.740634367,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.10255012,1.440482198,1,1.5,NA
203521,1,"keep",7,98,"neutral",50,513.169,514.278,1.103,514.303,514.502,515.804,514.603,515.702,151.761,1.109,0.199,1.099,0,0,1,98,50,"policy",1.35345984,0.783597499,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-1.86890484,1.531069685,1,0,NA
203521,1,"share",7,99,"neutral",50,518.34,519.128,0.782,519.157,519.356,520.659,519.458,520.557,151.761,0.788,0.199,1.099,0,0,1,99,51,"policy",1.024687541,0.706815688,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.461606609,0.897633295,1,1.5,NA
