"id","run","nifti"
220562,1,"nfasm-sub-220562_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220562,2,"nfasm-sub-220562_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220590,1,"nfasm-sub-220590_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220590,2,"nfasm-sub-220590_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220622,1,"nfasm-sub-220622_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220622,2,"nfasm-sub-220622_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220625,1,"nfasm-sub-220625_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220625,2,"nfasm-sub-220625_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220637,1,"nfasm-sub-220637_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220637,2,"nfasm-sub-220637_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220643,1,"nfasm-sub-220643_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220643,2,"nfasm-sub-220643_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220686,1,"nfasm-sub-220686_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220686,2,"nfasm-sub-220686_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220691,1,"nfasm-sub-220691_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220691,2,"nfasm-sub-220691_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220756,1,"nfasm-sub-220756_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220756,2,"nfasm-sub-220756_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220762,1,"nfasm-sub-220762_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220762,2,"nfasm-sub-220762_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220831,1,"nfasm-sub-220831_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220831,2,"nfasm-sub-220831_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220875,1,"nfasm-sub-220875_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220875,2,"nfasm-sub-220875_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220886,1,"nfasm-sub-220886_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220886,2,"nfasm-sub-220886_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220903,1,"nfasm-sub-220903_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220903,2,"nfasm-sub-220903_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220920,1,"nfasm-sub-220920_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220920,2,"nfasm-sub-220920_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220955,1,"nfasm-sub-220955_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220955,2,"nfasm-sub-220955_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221193,1,"nfasm-sub-221193_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
